mode,load,0_densenet161-2,1_densenet169-4,2_densenet201-2
mps-uncap,0.8,160.61468624949092,320.89047099222694,121.51435321458196
mps-uncap,0.9,174.68533723500582,365.6322198364369,143.57008335793057
mps-uncap,1.0,196.34365049046087,394.13396974529303,155.87571268091804
mps-uncap,0.5,94.39848177805759,201.6356685046691,76.50583775937461
mps-uncap,0.6,114.45390645748321,239.76441039658164,88.7177173610991
mps-uncap,0.7,140.41276651278216,274.8968134786515,109.0753503707886
mps-uncap,0.1,21.267600192222787,41.74286184184212,16.24595948227794
mps-uncap,0.2,38.709825297551724,81.32333174262214,31.49008959815722
mps-uncap,0.3,56.17575290557007,118.97130351528523,45.64158053622881
mps-uncap,0.4,76.9576990106762,158.89852778604865,61.19385232915177
