mode,load,0_densenet161-2,1_densenet169-4,2_densenet201-2
mps-uncap,0.8,104.9649715423584,113.34705352783203,151.99995040893555
mps-uncap,0.9,183.762788772583,250.43082237243652,308.0332279205322
mps-uncap,1.0,643.5775756835938,2234.4579696655273,830.4126262664795
mps-uncap,0.5,44.39282417297363,68.66645812988281,47.78599739074707
mps-uncap,0.6,62.988996505737305,74.13554191589355,131.5479278564453
mps-uncap,0.7,92.73242950439453,88.00840377807617,113.27552795410156
mps-uncap,0.1,38.361549377441406,47.69158363342285,37.2014045715332
mps-uncap,0.2,42.30761528015137,38.21706771850586,46.80991172790527
mps-uncap,0.3,45.27449607849121,45.35317420959473,41.918039321899414
mps-uncap,0.4,40.29536247253418,43.68734359741211,55.6790828704834
