mode,load,0_densenet161-2,1_densenet169-4,2_densenet201-2
mps-uncap,0.8,21.900296211242676,20.916461944580078,24.56986904144287
mps-uncap,0.9,35.877108573913574,44.79837417602539,40.64130783081055
mps-uncap,1.0,251.48725509643555,1403.3432006835938,188.6981725692749
mps-uncap,0.5,12.259483337402344,12.794971466064453,14.796614646911621
mps-uncap,0.6,14.646410942077637,14.95051383972168,15.718221664428711
mps-uncap,0.7,16.438007354736328,17.586469650268555,22.33898639678955
mps-uncap,0.1,17.94910430908203,18.24498176574707,21.692276000976562
mps-uncap,0.2,17.049431800842285,17.601490020751953,20.35701274871826
mps-uncap,0.3,15.514850616455078,13.484001159667969,15.633106231689453
mps-uncap,0.4,12.600421905517578,12.401580810546875,14.787673950195312
