mode,load,0_inception_v3-8,1_mobilenet_v3_small-8,2_vgg16-16
mps-uncap,0.8,83.8186502456665,55.828666687011754,122.25663661956787
mps-uncap,0.9,1459.7102165222173,134.56492424011233,1030.8451890945435
mps-uncap,1.0,4122.138500213623,7713.921737670899,4839.159297943116
mps-uncap,0.5,34.630465507507324,14.790797233581548,33.38944911956787
mps-uncap,0.6,37.554407119750984,21.860599517822266,46.053981781005874
mps-uncap,0.7,63.53468894958495,23.223638534545895,76.27730369567871
mps-uncap,0.1,22.53413200378418,11.898469924926758,16.26412868499756
mps-uncap,0.2,24.378347396850593,14.516949653625488,18.241381645202637
mps-uncap,0.3,24.953079223632812,15.47422409057617,21.79806232452393
mps-uncap,0.4,27.679920196533207,15.146827697753912,25.438022613525394
