mode,load,0_inception_v3-8,1_mobilenet_v3_small-8,2_vgg16-16
mps-uncap,0.8,228.19788552508032,613.1173130175986,1160.18902473267
mps-uncap,0.9,247.21842541682796,690.3060620832711,1330.652343475024
mps-uncap,1.0,279.18913029613884,664.895783470435,1323.4108398750259
mps-uncap,0.5,145.45778834036338,372.95302094803543,732.7072188771257
mps-uncap,0.6,165.6893104002503,456.24403136454384,893.2245727612197
mps-uncap,0.7,198.86792227498793,510.9100608543046,1041.5126937260318
mps-uncap,0.1,27.120493681034212,68.83807425282629,149.24924826809632
mps-uncap,0.2,56.78733242492526,149.03704555939433,281.8734723009057
mps-uncap,0.3,83.91958793837021,228.33471896030883,425.2341480711388
mps-uncap,0.4,107.43264586130424,297.53637734283376,582.1028579353857
