mode,load,0_inception_v3-8,1_mobilenet_v3_small-8,2_vgg16-16
mps-uncap,0.8,29.793286323547363,12.387418746948244,13.303637504577637
mps-uncap,0.9,34.8088264465332,12.011909484863283,12.370824813842773
mps-uncap,1.0,30.983686447143555,12.727403640747072,12.465953826904297
mps-uncap,0.5,27.147650718688965,10.501289367675783,12.66944408416748
mps-uncap,0.6,25.476884841918945,11.556148529052734,12.894034385681152
mps-uncap,0.7,31.99987411499023,11.085128784179688,12.949085235595703
mps-uncap,0.1,21.323585510253903,9.865665435791016,14.306306838989258
mps-uncap,0.2,21.282267570495605,11.641764640808105,12.370991706848145
mps-uncap,0.3,20.99070549011231,11.735153198242188,12.293052673339844
mps-uncap,0.4,25.124669075012207,10.685133934020996,12.367892265319826
