mode,load,0_inception_v3-8,1_mobilenet_v3_small-8,2_vgg16-16
mps-uncap,0.8,174.00923490524298,104.3230962753295,235.6540560722351
mps-uncap,0.9,1859.614090919494,197.83764839172363,1152.8444361686704
mps-uncap,1.0,4553.6752462387085,8682.446146011353,5657.150402069092
mps-uncap,0.5,62.58748292922975,25.98758459091191,75.54508447647096
mps-uncap,0.6,72.16041564941395,42.423939704895,96.7616748809814
mps-uncap,0.7,130.83365917205796,50.070219039917056,190.1963138580321
mps-uncap,0.1,33.50486516952514,18.195567131042477,24.231727123260487
mps-uncap,0.2,39.13156032562258,22.04016208648682,27.195944786071742
mps-uncap,0.3,37.10422039031988,23.127946853637727,34.6763300895691
mps-uncap,0.4,50.345354080200195,24.263563156127926,42.63548135757445
