mode,load,0_inception_v3-8,1_mobilenet_v3_small-8,2_vgg16-16
mps-uncap,0.8,255.77807426452637,192.00611114501953,280.0261974334717
mps-uncap,0.9,1979.7961711883545,226.03106498718262,1193.0363178253174
mps-uncap,1.0,4707.4995040893555,8743.829488754272,5733.445167541504
mps-uncap,0.5,68.77827644348145,36.47947311401367,98.07443618774414
mps-uncap,0.6,83.77766609191895,58.524131774902344,115.97847938537598
mps-uncap,0.7,157.7894687652588,73.78935813903809,256.4730644226074
mps-uncap,0.1,17.438888549804688,15.197038650512695,20.033597946166992
mps-uncap,0.2,35.408973693847656,18.355369567871094,23.68330955505371
mps-uncap,0.3,31.939268112182617,21.358013153076172,35.016775131225586
mps-uncap,0.4,53.070783615112305,35.24470329284668,61.23781204223633
