mode,load,0_inception_v3-8,1_mobilenet_v3_small-8,2_vgg16-16
mps-uncap,0.8,8.552074432373047,4.086971282958984,10.111331939697266
mps-uncap,0.9,8.780956268310547,4.15492057800293,10.913610458374023
mps-uncap,1.0,8.908987045288086,4.395484924316406,11.039257049560547
mps-uncap,0.5,8.530139923095703,3.950834274291992,10.065555572509766
mps-uncap,0.6,8.484840393066406,4.035234451293945,10.067939758300781
mps-uncap,0.7,8.568286895751953,4.074335098266602,10.090351104736328
mps-uncap,0.1,8.655071258544922,4.110097885131836,10.040760040283203
mps-uncap,0.2,8.559703826904297,4.038333892822266,11.072874069213867
mps-uncap,0.3,8.610725402832031,4.027366638183594,10.008573532104492
mps-uncap,0.4,8.516550064086914,4.076719284057617,10.013341903686523
