mode,load,0_inception_v3-8,1_mobilenet_v3_small-8,2_vgg16-16
mps-uncap,0.8,8.588790893554688,4.126548767089844,10.198354721069336
mps-uncap,0.9,9.10806655883789,4.229545593261719,11.128902435302734
mps-uncap,1.0,17.017602920532227,4.411458969116211,11.723756790161133
mps-uncap,0.5,8.549690246582031,3.996610641479492,10.088205337524414
mps-uncap,0.6,8.569717407226562,4.069089889526367,10.144710540771484
mps-uncap,0.7,8.668184280395508,4.113435745239258,10.123014450073242
mps-uncap,0.1,9.71531867980957,5.1727294921875,10.069847106933594
mps-uncap,0.2,8.617162704467773,4.375219345092773,11.089086532592773
mps-uncap,0.3,8.675098419189453,4.039764404296875,10.038375854492188
mps-uncap,0.4,8.663177490234375,4.158496856689453,10.055780410766602
