mode,load,0_inception_v3-8,1_mobilenet_v3_small-8,2_vgg16-16
mps-uncap,0.8,33.0812931060791,16.029834747314453,15.751123428344727
mps-uncap,0.9,36.19384765625,14.38450813293457,14.79029655456543
mps-uncap,1.0,33.4782600402832,16.112089157104492,15.405416488647461
mps-uncap,0.5,34.145355224609375,14.29605484008789,15.207529067993164
mps-uncap,0.6,31.69560432434082,14.308929443359375,15.51365852355957
mps-uncap,0.7,36.12685203552246,13.892650604248047,15.256881713867188
mps-uncap,0.1,34.39474105834961,15.174388885498047,17.667293548583984
mps-uncap,0.2,25.086402893066406,14.231681823730469,14.901399612426758
mps-uncap,0.3,24.710655212402344,14.873743057250977,16.074180603027344
mps-uncap,0.4,33.27631950378418,14.230012893676758,14.460086822509766
