mode,load,0_alexnet-16,1_densenet121-2,2_mobilenet_v3_small-32
mps-uncap,0.8,20.74146270751953,68.53008270263672,34.340858459472656
mps-uncap,0.9,55.323123931884766,151.3371467590332,60.45722961425781
mps-uncap,1.0,94.34914588928223,131.0422420501709,157.6406955718994
mps-uncap,0.5,10.329246520996094,39.90769386291504,34.97123718261719
mps-uncap,0.6,10.800838470458984,33.30421447753906,29.386281967163086
mps-uncap,0.7,17.316102981567383,61.69486045837402,36.966800689697266
mps-uncap,0.1,2.5556087493896484,19.289255142211914,14.075756072998047
mps-uncap,0.2,5.702733993530273,38.71893882751465,14.712095260620117
mps-uncap,0.3,5.919694900512695,34.786224365234375,23.502349853515625
mps-uncap,0.4,7.5359344482421875,31.71253204345703,22.72796630859375
