mode,load,0_alexnet-16,1_densenet121-2,2_mobilenet_v3_small-32
mps-uncap,0.8,0.0073909759521484375,0.009298324584960938,0.008344650268554688
mps-uncap,0.9,0.007152557373046875,0.010251998901367188,0.008344650268554688
mps-uncap,1.0,0.00762939453125,0.01049041748046875,0.009298324584960938
mps-uncap,0.5,0.009298324584960938,0.011205673217773438,0.010967254638671875
mps-uncap,0.6,0.00762939453125,0.010013580322265625,0.009059906005859375
mps-uncap,0.7,0.0073909759521484375,0.010251998901367188,0.009059906005859375
mps-uncap,0.1,0.010251998901367188,0.012159347534179688,0.01239776611328125
mps-uncap,0.2,0.00858306884765625,0.012159347534179688,0.011205673217773438
mps-uncap,0.3,0.008106231689453125,0.011920928955078125,0.011444091796875
mps-uncap,0.4,0.0095367431640625,0.011682510375976562,0.010013580322265625
