mode,load,0_alexnet-16,1_densenet121-2,2_mobilenet_v3_small-32
mps-uncap,0.8,1.38092041015625,6.942510604858398,2.704620361328125
mps-uncap,0.9,1.3761520385742188,6.941795349121094,2.703428268432617
mps-uncap,1.0,1.3797283172607422,6.925344467163086,2.7077198028564453
mps-uncap,0.5,1.405477523803711,6.832599639892578,2.705097198486328
mps-uncap,0.6,1.4052391052246094,6.888389587402344,2.7031898498535156
mps-uncap,0.7,1.4009475708007812,6.9370269775390625,2.703428268432617
mps-uncap,0.1,1.4154911041259766,7.055997848510742,2.7115345001220703
mps-uncap,0.2,1.3828277587890625,6.907224655151367,2.712249755859375
mps-uncap,0.3,1.386880874633789,6.9427490234375,2.7303695678710938
mps-uncap,0.4,1.3878345489501953,6.878852844238281,2.728700637817383
