mode,load,0_alexnet-16,1_densenet121-2,2_mobilenet_v3_small-32
mps-uncap,0.8,2.9180049896240234,13.616561889648438,6.2808990478515625
mps-uncap,0.9,3.0193328857421875,12.856006622314453,5.51915168762207
mps-uncap,1.0,2.932310104370117,11.729955673217773,5.93256950378418
mps-uncap,0.5,3.826618194580078,16.98446273803711,7.5168609619140625
mps-uncap,0.6,2.9425621032714844,18.662691116333008,7.224559783935547
mps-uncap,0.7,3.020048141479492,14.196395874023438,6.898641586303711
mps-uncap,0.1,2.733469009399414,20.882844924926758,9.300947189331055
mps-uncap,0.2,2.714395523071289,19.45328712463379,7.590293884277344
mps-uncap,0.3,2.8209686279296875,19.202709197998047,7.599830627441406
mps-uncap,0.4,2.9821395874023438,19.011259078979492,9.369134902954102
