mode,load,0_alexnet-16,1_densenet121-2,2_mobilenet_v3_small-32
mps-uncap,0.8,6485.561754966034,139.79210243984465,4841.214411885249
mps-uncap,0.9,7366.03698720649,154.66284926833896,5574.851515353172
mps-uncap,1.0,8074.696132238794,171.77028924794232,6280.154904814429
mps-uncap,0.5,4094.4784448224013,86.90436348700344,3036.075957770168
mps-uncap,0.6,4864.4159765088225,101.9963010477765,3670.9484702258173
mps-uncap,0.7,5756.388432580833,118.13695278708623,4274.562465043743
mps-uncap,0.1,806.2241350426466,16.82438697722775,610.4719764952773
mps-uncap,0.2,1627.462780113941,32.266022189032526,1256.1148300940354
mps-uncap,0.3,2450.342963141588,51.58601549702215,1848.2192280931292
mps-uncap,0.4,3240.4593570317234,68.73951990998661,2543.1770981407412
