mode,load,0_alexnet-16,1_densenet121-2,2_mobilenet_v3_small-32
mps-uncap,0.8,1.394510269165039,6.977081298828125,2.718210220336914
mps-uncap,0.9,1.3935565948486328,7.019996643066406,2.721548080444336
mps-uncap,1.0,1.3968944549560547,7.051706314086914,2.7284622192382812
mps-uncap,0.5,1.422882080078125,6.955385208129883,2.7244091033935547
mps-uncap,0.6,1.4200210571289062,6.9789886474609375,2.7174949645996094
mps-uncap,0.7,1.4162063598632812,6.997823715209961,2.7191638946533203
mps-uncap,0.1,1.428842544555664,7.076025009155273,2.729654312133789
mps-uncap,0.2,1.3942718505859375,7.000446319580078,2.7256011962890625
mps-uncap,0.3,1.3976097106933594,6.955862045288086,2.7456283569335938
mps-uncap,0.4,1.40380859375,7.008075714111328,2.7463436126708984
