mode,load,0_alexnet-16,1_densenet121-2,2_mobilenet_v3_small-32
mps-uncap,0.8,2.604100704193116,12.039442062377926,5.346236228942871
mps-uncap,0.9,2.716052532196045,11.929435729980469,4.765043258666992
mps-uncap,1.0,2.735137939453125,10.449147224426266,5.338764190673828
mps-uncap,0.5,2.5401496887207022,13.65992546081543,6.894588470458986
mps-uncap,0.6,2.552976608276367,13.416399955749508,6.363546848297119
mps-uncap,0.7,2.596590518951416,12.784440517425542,5.729289054870605
mps-uncap,0.1,2.000808715820312,19.37234878540039,7.318887710571289
mps-uncap,0.2,2.280032634735107,18.139934539794925,7.118482589721681
mps-uncap,0.3,2.310471534729004,18.55231285095215,7.1398186683654785
mps-uncap,0.4,2.420287132263183,17.802007198333733,7.077715396881103
