mode,load,0_alexnet-16,1_densenet121-2,2_mobilenet_v3_small-32
mps-uncap,0.8,2.7316808700561523,12.57467269897461,5.709052085876465
mps-uncap,0.9,4.6035051345825195,15.65408706665039,6.80994987487793
mps-uncap,1.0,11.199116706848145,18.590450286865234,22.017717361450195
mps-uncap,0.5,1.7778873443603516,11.72947883605957,6.018638610839844
mps-uncap,0.6,1.9381046295166016,11.057496070861816,5.4236650466918945
mps-uncap,0.7,2.2863149642944336,11.142730712890625,5.033969879150391
mps-uncap,0.1,1.5575885772705078,16.814470291137695,6.300210952758789
mps-uncap,0.2,1.52587890625,16.472339630126953,6.294727325439453
mps-uncap,0.3,1.5773773193359375,13.150215148925781,6.6967010498046875
mps-uncap,0.4,1.6369819641113281,12.520074844360352,6.4438581466674805
