mode,load,0_efficientnet_b7-16,1_mobilenet_v2-4,2_resnet152-16
mps-uncap,0.8,294.0375091253713,518.0952275945009,377.10673536612927
mps-uncap,0.9,325.80941613107376,565.5260613518795,398.03490275200176
mps-uncap,1.0,361.6810016875108,604.4991453945933,469.2007532693347
mps-uncap,0.5,168.5132141195489,313.3417984400399,236.640367315666
mps-uncap,0.6,205.80566448322577,379.32319826911606,276.8177266345237
mps-uncap,0.7,251.81157666301442,443.63861660246914,323.07052906394154
mps-uncap,0.1,39.022280063548024,65.62880514338877,43.155806120731334
mps-uncap,0.2,75.172800374225,120.9578572383924,86.56001808602728
mps-uncap,0.3,108.63279229911318,184.64395675825276,126.97695535888292
mps-uncap,0.4,139.2015005622715,253.30205866747696,184.95324472493755
