mode,load,0_efficientnet_b7-16,1_mobilenet_v2-4,2_resnet152-16
mps-uncap,0.8,341.13566398620685,55.75474500656139,199.83394145965542
mps-uncap,0.9,455.6847620010377,90.02222061157221,390.9955644607542
mps-uncap,1.0,1563.4184360504157,4457.161598205568,3501.9168472290044
mps-uncap,0.5,104.59766387939437,19.853184223175035,94.7677493095398
mps-uncap,0.6,118.89426231384277,22.579126358032216,88.26780319213867
mps-uncap,0.7,159.0498948097229,30.42013168334959,146.7814064025879
mps-uncap,0.1,53.3631992340088,11.22679710388184,33.45448493957519
mps-uncap,0.2,55.42073249816892,11.823992729187019,45.32132863998417
mps-uncap,0.3,78.11049222946166,13.993096351623516,54.568691253662124
mps-uncap,0.4,81.97242736816393,18.753368854522705,64.71967935562134
