mode,load,0_alexnet-8,1_mobilenet_v3_large-4,2_resnet101-2
mps-uncap,1.0,1.4204978942871094,4.876136779785156,9.54580307006836
mig,1.0,1.8587112426757812,4.927635192871094,9.34290885925293
