mode,load,0_densenet169-8,1_mobilenet_v2-4,2_resnet18-4
mps-uncap,0.8,462.9035431481841,960.8340064960894,1543.414178013294
mps-uncap,0.9,457.5600989156382,949.3611813454187,1771.5021913937937
mps-uncap,1.0,463.97294293180767,971.0799848937423,1835.810523204705
mps-uncap,0.5,297.19492411143256,759.036934514777,1002.1988546251173
mps-uncap,0.6,363.5741811804267,917.4523136673985,1214.3926224821728
mps-uncap,0.7,431.1717622655346,941.3877811783569,1399.7519276752284
mps-uncap,0.1,58.03537062061742,154.4477752922061,198.85207727919956
mps-uncap,0.2,122.42990939271141,307.96513458621155,397.23469573416173
mps-uncap,0.3,190.0485372873834,458.72227429845634,611.7441622807434
mps-uncap,0.4,232.9015751360275,612.7676872782981,779.9046444116016
