mode,load,0_vgg16-4,1_densenet201-32,2_vgg11-8
mps-uncap,1.0,0.015497207641601562,0.000476837158203125,0.0007152557373046875
mig,1.0,0.0026226043701171875,0.000476837158203125,0.000476837158203125
