mode,load,0_densenet121-4,1_efficientnet_b6-4,2_vgg13-8
mps-uncap,0.8,76.74955844879159,98.9138507843007,33.19926738739013
mps-uncap,0.9,151.19121551513666,222.879273891449,65.24076461792001
mps-uncap,1.0,895.0509834289553,1888.310015201569,561.7981433868408
mps-uncap,0.5,24.889307022094727,34.88431215286252,13.225765228271472
mps-uncap,0.6,30.995893478393537,40.71074724197381,18.80716085433959
mps-uncap,0.7,41.088542938232415,59.24555778503405,21.064639091491713
mps-uncap,0.1,13.502082824707031,21.26887321472166,3.957066535949706
mps-uncap,0.2,16.25339031219481,20.210409164428697,6.755046844482434
mps-uncap,0.3,20.8557033538818,26.87830924987789,8.445358276367182
mps-uncap,0.4,22.10039138793945,31.910443305969128,10.476422309875488
