mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,8.055167198181147,33.599648475646966,8.262729644775392
mig,0.6,8.111820220947266,38.408498764038086,6.852302551269536
mps-uncap,0.7,8.140230178832985,35.61656951904297,8.414673805236813
mig,0.7,8.234949111938477,38.485970497131355,6.928722858428953
mps-uncap,0.8,8.197021484375,37.03758239746093,8.427357673645018
mig,0.8,8.236246109008789,38.66194725036621,6.88720941543579
mps-uncap,0.9,8.366055488586422,37.45121002197265,8.934059143066406
mig,0.9,8.24859380722046,38.636012077331536,6.878662109374999
mps-uncap,1.0,8.24596643447876,34.487195014953606,9.737491607666016
mig,1.0,8.104538917541504,38.45192193984986,6.6695117950439435
mps-uncap,1.1,8.29277753829956,34.49360370635986,9.87131118774414
mig,1.1,7.941665649414064,38.12063932418823,6.541776657104491
mps-uncap,1.2,8.235507011413574,34.49857234954834,9.81192588806152
mig,1.2,7.773737907409668,37.673583030700684,6.071279048919678
mps-uncap,1.3,8.177311420440674,34.42802429199219,9.859700202941895
mig,1.3,8.193750381469723,38.77168655395508,6.726465225219731
