mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,5.906581878662109,27.59723663330078,6.071949005126956
mig,0.6,7.5969696044921875,37.50600814819336,6.076622009277344
mps-uncap,0.7,6.074905395507814,30.531477928161625,5.995631217956543
mig,0.7,7.585453987121582,37.49408721923828,6.012773513793945
mps-uncap,0.8,6.279945373535156,32.78083801269532,6.115889549255371
mig,0.8,7.558417320251466,37.51249313354492,5.983638763427734
mps-uncap,0.9,6.644201278686524,34.70206260681152,6.517672538757324
mig,0.9,7.482481002807617,37.47663497924805,5.826711654663086
mps-uncap,1.0,7.0384979248046875,32.903337478637695,7.764196395874023
mig,1.0,7.359027862548828,37.125396728515625,5.661725997924805
mps-uncap,1.1,7.270479202270509,33.46447944641113,8.508825302124023
mig,1.1,7.325315475463867,36.94283962249756,5.641937255859375
mps-uncap,1.2,7.352399826049804,33.6885929107666,8.760213851928711
mig,1.2,7.3211669921875,36.80458068847656,5.622363090515137
mps-uncap,1.3,7.326269149780274,33.80284309387207,8.8179349899292
mig,1.3,7.445096969604492,37.64791488647461,5.741691589355469
