mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,9.40661430358887,41.41244888305664,12.991189956665044
mig,0.6,20.849609375,106.22148513793947,17.492294311523455
mps-uncap,0.7,11.53841018676758,52.692532539367676,16.15738868713379
mig,0.7,30.020689964294434,137.84351348876953,24.47671890258789
mps-uncap,0.8,14.089822769165039,66.72954559326173,23.895502090454098
mig,0.8,43.79725456237794,191.29123687744143,32.422971725463874
mps-uncap,0.9,17.984104156494148,106.74853324890142,40.189170837402344
mig,0.9,65.05734920501709,322.4149703979493,67.41604804992674
mps-uncap,1.0,28.751587867736816,149.34341907501224,3787.0054721832275
mig,1.0,822.665548324585,1956.059741973877,552.630662918091
mps-uncap,1.1,71.70281410217287,448.0042934417726,17254.93359565735
mig,1.1,7020.8558559417725,8028.535008430481,6548.297762870789
mps-uncap,1.2,233.26053619384766,4525.6672382354745,25591.70937538147
mig,1.2,12981.448411941532,11799.531936645511,12552.083706855774
mps-uncap,1.3,4259.3183517456055,12657.789897918701,31150.79078674316
mig,1.3,18570.54648399353,17676.221847534183,18679.39214706421
