mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,3.0972957611083984,16.631364822387695,4.033565521240234
mig,0.6,6.841182708740234,34.761905670166016,4.996061325073242
mps-uncap,0.7,3.0863285064697266,16.983747482299805,4.050731658935547
mig,0.7,6.8073272705078125,34.66081619262695,4.923582077026367
mps-uncap,0.8,3.0586719512939453,16.58010482788086,4.056215286254883
mig,0.8,6.817340850830078,34.755706787109375,4.934787750244141
mps-uncap,0.9,3.1042098999023438,16.707658767700195,4.059314727783203
mig,0.9,6.841182708740234,34.76548194885254,4.961729049682617
mps-uncap,1.0,3.1478404998779297,16.890764236450195,4.000186920166016
mig,1.0,6.854057312011719,34.91711616516113,4.9991607666015625
mps-uncap,1.1,3.2501220703125,16.852378845214844,4.08625602722168
mig,1.1,6.860256195068359,34.89375114440918,5.019664764404297
mps-uncap,1.2,3.167390823364258,16.97373390197754,4.024982452392578
mig,1.2,6.886482238769531,35.11452674865723,5.00798225402832
mps-uncap,1.3,4.323482513427734,19.123315811157227,4.296302795410156
mig,1.3,6.8645477294921875,35.15338897705078,5.016803741455078
