mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,4.523420333862306,19.664382934570312,8.218383789062502
mig,0.6,13.686037063598633,70.04809379577637,12.02311515808106
mps-uncap,0.7,6.470966339111333,29.409480094909668,11.263012886047363
mig,0.7,22.878742218017578,101.60772800445558,19.17238235473633
mps-uncap,0.8,8.855581283569336,41.6508197784424,18.905520439147942
mig,0.8,36.650371551513715,155.61480522155765,27.03406810760498
mps-uncap,0.9,12.45999336242676,79.85391616821295,35.01784801483157
mig,0.9,57.91499614715574,286.6846561431885,62.0492935180664
mps-uncap,1.0,23.16048145294189,120.94295024871826,3781.258058547973
mig,1.0,815.5020713806152,1920.1760530471804,547.2796916961671
mps-uncap,1.1,65.77610969543458,418.10576915740995,17250.036239624023
mig,1.1,7013.631582260132,7992.86413192749,6542.971253395081
mps-uncap,1.2,227.5360107421875,4492.737483978272,25584.813833236694
mig,1.2,12974.206352233889,11763.613224029545,12546.860432624817
mps-uncap,1.3,4251.827549934388,12625.78821182251,31145.038819313046
mig,1.3,18563.27452659607,17639.903736114506,18674.268579483032
