mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,4.085063934326172,19.72341537475586,4.578828811645508
mig,0.6,7.168769836425781,36.23843193054199,5.543708801269531
mps-uncap,0.7,4.291534423828125,21.657228469848633,4.627227783203125
mig,0.7,6.997108459472656,35.999298095703125,5.149602890014648
mps-uncap,0.8,4.608154296875,23.302078247070312,4.673957824707031
mig,0.8,7.000088691711426,35.883188247680664,5.13768196105957
mps-uncap,0.9,5.008935928344727,25.72464942932129,4.845857620239258
mig,0.9,7.035017013549805,35.74633598327637,5.162715911865234
mps-uncap,1.0,5.256056785583496,28.5491943359375,5.406856536865234
mig,1.0,7.087469100952148,35.76004505157471,5.196571350097656
mps-uncap,1.1,5.45954704284668,31.703948974609375,5.966663360595703
mig,1.1,7.100105285644531,35.736680030822754,5.2051544189453125
mps-uncap,1.2,5.537509918212891,32.53006935119629,6.2198638916015625
mig,1.2,7.100343704223633,35.73179244995117,5.2051544189453125
mps-uncap,1.3,5.530118942260742,32.869577407836914,6.254792213439941
mig,1.3,7.09080696105957,35.76803207397461,5.197763442993164
