mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,329.3243179397266,264.2524333276389,897.4075646977152
mig,0.6,324.87370440913907,261.7764997623264,896.0334355826614
mps-uncap,0.7,389.9589885308529,295.0265972736183,1025.0053477603062
mig,0.7,383.0116054269177,315.30617447192043,1046.2725527279165
mps-uncap,0.8,436.41363622381783,349.05921008687767,1183.7692451386208
mig,0.8,437.7252577942002,350.31255560637226,1182.1736402207266
mps-uncap,0.9,486.97071520258703,397.2031333046218,1303.6183085055688
mig,0.9,493.3264057929511,396.02614834928465,1355.9247418632876
mps-uncap,1.0,549.7648106780649,439.9920901711386,1419.4383970923652
mig,1.0,548.245873976624,441.2857543172362,1469.9317966633168
mps-uncap,1.1,615.330862418725,489.8952766079824,1285.7722842077314
mig,1.1,556.7474529205736,444.3443342917865,1505.0268329294597
mps-uncap,1.2,666.6967463952373,500.63610946678716,1210.3711146402322
mig,1.2,559.0098359781884,444.79781512362575,1512.1448120572047
mps-uncap,1.3,688.8844766298611,487.73306234144724,1193.15865243301
mig,1.3,555.6945521092264,441.41467107994697,1494.296662580281
