mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,11.813540458679185,49.79706764221191,17.600545883178718
mig,0.6,29.5983123779297,141.46019935607904,25.25908946990969
mps-uncap,0.7,16.44525527954101,62.508807182312054,25.553667545318582
mig,0.7,51.02405786514282,228.3569717407227,41.40733242034906
mps-uncap,0.8,19.599437713623054,100.59590816497791,40.74429035186761
mig,0.8,71.85422897338867,280.08297920227074,62.51323699951153
mps-uncap,0.9,28.087515830993645,148.93799781799314,72.53471374511719
mig,0.9,100.65232753753679,492.3058271408068,126.75649642944323
mps-uncap,1.0,47.50352859497072,300.79255342483515,3944.5645141601562
mig,1.0,964.9493885040287,2239.3339157104497,733.1385707855221
mps-uncap,1.1,142.31014966964725,707.5525736808777,19313.140506744385
mig,1.1,7632.4104833602905,9298.978476524353,6783.1560492515555
mps-uncap,1.2,308.3574438095092,4785.904541015625,28050.333166122437
mig,1.2,14266.223936080933,13337.648606300356,13707.562973499298
mps-uncap,1.3,4755.216610431671,14435.70213317871,34175.48906326293
mig,1.3,20610.7874584198,20039.685673713684,20691.12069129944
