mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,3.118753433227539,16.70980453491211,4.069805145263672
mig,0.6,6.8607330322265625,34.78693962097168,5.014181137084961
mps-uncap,0.7,3.110170364379883,17.062902450561523,4.090309143066406
mig,0.7,6.8206787109375,34.681081771850586,4.947423934936523
mps-uncap,0.8,3.1135082244873047,16.754150390625,4.094362258911133
mig,0.8,6.857633590698242,34.795284271240234,4.989147186279297
mps-uncap,0.9,3.1223297119140625,16.96610450744629,4.094600677490234
mig,0.9,6.860494613647461,34.78288650512695,5.023956298828125
mps-uncap,1.0,3.1752586364746094,17.00568199157715,4.191875457763672
mig,1.0,6.871461868286133,35.02845764160156,5.057573318481445
mps-uncap,1.1,3.2646656036376953,16.978979110717773,4.336357116699219
mig,1.1,6.898164749145508,35.2938175201416,5.079746246337891
mps-uncap,1.2,3.2112598419189453,19.899368286132812,4.262447357177734
mig,1.2,6.90913200378418,35.134077072143555,5.088090896606445
mps-uncap,1.3,5.055904388427734,21.186113357543945,5.602359771728516
mig,1.3,6.8836212158203125,35.19153594970703,5.092144012451172
