mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,36.51881217956543,103.29914093017578,39.025306701660156
mig,0.6,58.72797966003418,273.04697036743164,67.33560562133789
mps-uncap,0.7,38.75160217285156,126.17349624633789,59.23771858215332
mig,0.7,92.8184986114502,482.2351932525635,71.72727584838867
mps-uncap,0.8,45.8984375,172.438383102417,74.5391845703125
mig,0.8,108.48164558410645,391.5071487426758,109.65204238891602
mps-uncap,0.9,65.23847579956055,227.59222984313965,112.07103729248047
mig,0.9,170.93372344970703,650.8567333221436,186.05709075927734
mps-uncap,1.0,85.52050590515137,399.29652214050293,4023.6783027648926
mig,1.0,1020.686149597168,2357.9275608062744,781.9004058837891
mps-uncap,1.1,202.84676551818848,813.4369850158691,19569.84853744507
mig,1.1,7772.804021835327,9442.814826965332,6895.1990604400635
mps-uncap,1.2,362.07032203674316,4913.645505905151,28338.40560913086
mig,1.2,14382.787942886353,13579.17594909668,13822.88908958435
mps-uncap,1.3,4822.166204452515,14543.934345245361,34509.3457698822
mig,1.3,20843.66512298584,20452.045440673828,20875.447511672974
