mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,10.419845581054688,37.874698638916016,15.013933181762695
mig,0.6,15.634536743164062,39.18051719665527,17.659425735473633
mps-uncap,0.7,10.366678237915039,37.33205795288086,17.51422882080078
mig,0.7,13.254642486572266,39.418935775756836,18.217802047729492
mps-uncap,0.8,17.52185821533203,47.132015228271484,13.38505744934082
mig,0.8,18.657684326171875,50.36449432373047,14.376163482666016
mps-uncap,0.9,10.521411895751953,39.39199447631836,15.633106231689453
mig,0.9,15.745401382446289,49.34811592102051,16.08729362487793
mps-uncap,1.0,15.36107063293457,36.99326515197754,16.494035720825195
mig,1.0,19.098758697509766,50.041913986206055,18.53179931640625
mps-uncap,1.1,13.036966323852539,41.75686836242676,14.223575592041016
mig,1.1,19.932270050048828,51.73015594482422,18.397808074951172
mps-uncap,1.2,13.722896575927734,40.92741012573242,14.911890029907227
mig,1.2,18.51367950439453,49.201250076293945,16.893386840820312
mps-uncap,1.3,18.896102905273438,40.96102714538574,22.12977409362793
mig,1.3,17.93670654296875,51.1012077331543,20.349740982055664
