mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,31.62074089050293,78.92227172851562,34.95216369628906
mig,0.6,51.545143127441406,236.0827922821045,62.1340274810791
mps-uncap,0.7,33.83207321166992,96.23074531555176,54.19778823852539
mig,0.7,85.50095558166504,444.882869720459,66.7123794555664
mps-uncap,0.8,41.040658950805664,141.82615280151367,70.45125961303711
mig,0.8,101.11284255981445,354.6757698059082,104.56228256225586
mps-uncap,0.9,59.49521064758301,196.30837440490723,107.30433464050293
mig,0.9,163.97523880004883,615.5498027801514,180.48381805419922
mps-uncap,1.0,78.82905006408691,364.66264724731445,4018.110513687134
mig,1.0,1013.6117935180664,2322.298765182495,776.705265045166
mps-uncap,1.1,197.465181350708,779.958963394165,19560.28461456299
mig,1.1,7765.669822692871,9406.841278076172,6889.997959136963
mps-uncap,1.2,356.3063144683838,4887.935638427734,28329.608917236328
mig,1.2,14375.687599182129,13543.56598854065,13815.19865989685
mps-uncap,1.3,4816.981792449951,14511.54375076294,34495.95499038696
mig,1.3,20835.864782333374,20416.677951812744,20865.41223526001
