mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,0.027179718017578125,0.02956390380859375,0.9508132934570312
mig,0.6,2.0914077758789062,14.852762222290039,2.239704132080078
mps-uncap,0.7,0.027418136596679688,0.030517578125,2.4352073669433594
mig,0.7,4.982590675354004,25.925278663635254,4.447579383850098
mps-uncap,0.8,0.5807876586914062,2.452850341796875,4.276752471923828
mig,0.8,8.23831558227539,40.184974670410156,6.862998008728027
mps-uncap,0.9,2.2394657135009766,14.472723007202148,8.6747407913208
mig,0.9,16.17562770843506,90.90447425842285,16.574382781982422
mps-uncap,1.0,5.2280426025390625,27.453899383544922,2248.518466949463
mig,1.0,171.92578315734863,1327.6634216308594,76.61199569702148
mps-uncap,1.1,14.46998119354248,135.4823112487793,10260.621309280396
mig,1.1,3863.115072250366,4423.442840576172,3251.5088319778442
mps-uncap,1.2,98.70553016662598,2590.2912616729736,13569.984912872314
mig,1.2,6837.604761123657,6206.488847732544,6174.563407897949
mps-uncap,1.3,2406.3693284988403,6476.632356643677,17039.459109306335
mig,1.3,9901.393175125122,9070.4026222229,9411.821365356445
