mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,0.011444091796875,0.013828277587890625,0.011682510375976562
mig,0.6,0.011444091796875,0.014066696166992188,0.011920928955078125
mps-uncap,0.7,0.011205673217773438,0.014066696166992188,0.011444091796875
mig,0.7,0.01239776611328125,0.014543533325195312,0.011682510375976562
mps-uncap,0.8,0.011682510375976562,0.01430511474609375,0.011920928955078125
mig,0.8,0.010967254638671875,0.014066696166992188,0.011444091796875
mps-uncap,0.9,0.012159347534179688,0.01430511474609375,0.011682510375976562
mig,0.9,0.012636184692382812,0.013828277587890625,0.012636184692382812
mps-uncap,1.0,0.011205673217773438,0.013828277587890625,0.01430511474609375
mig,1.0,0.012874603271484375,0.014066696166992188,0.013828277587890625
mps-uncap,1.1,0.01239776611328125,0.01430511474609375,0.014543533325195312
mig,1.1,0.013589859008789062,0.023365020751953125,0.014543533325195312
mps-uncap,1.2,0.013113021850585938,0.018596649169921875,0.01430511474609375
mig,1.2,0.014543533325195312,0.015974044799804688,0.0152587890625
mps-uncap,1.3,0.01430511474609375,0.01621246337890625,0.015020370483398438
mig,1.3,0.014066696166992188,0.03814697265625,0.015020370483398438
