mode,load,0_vgg16-4,1_densenet169-16,2_mobilenet_v2-8
mps-uncap,0.6,4.662275314331055,22.791147232055664,6.339311599731445
mig,0.6,9.27734375,51.131248474121094,7.691383361816406
mps-uncap,0.7,5.240917205810547,26.39448642730713,7.278800010681152
mig,0.7,12.136101722717285,62.00253963470459,9.796977043151855
mps-uncap,0.8,6.105661392211914,31.109094619750977,9.116888046264648
mig,0.8,15.344858169555664,76.10845565795898,12.219548225402832
mps-uncap,0.9,7.409811019897461,40.35806655883789,13.780474662780762
mig,0.9,23.29397201538086,127.0453929901123,21.929502487182617
mps-uncap,1.0,10.73455810546875,55.30846118927002,2254.631996154785
mig,1.0,178.95960807800293,1363.958716392517,81.82239532470703
mps-uncap,1.1,20.18129825592041,165.1020050048828,10266.037464141846
mig,1.1,3870.461940765381,4459.971070289612,3256.6970586776733
mps-uncap,1.2,104.52127456665039,2621.9615936279297,13577.968120574951
mig,1.2,6844.879627227783,6243.32332611084,6179.9236536026
mps-uncap,1.3,2411.7554426193237,6509.9146366119385,17045.23503780365
mig,1.3,9908.478498458862,9106.25672340393,9417.009592056274
