mode,load,0_alexnet-8,1_resnet18-32,2_vgg11-8
mps-uncap,0.8,1.0585784912109375,4.558086395263672,3.4532546997070312
mps-uncap,0.9,1.1546611785888672,5.003452301025391,3.570079803466797
mps-uncap,1.0,1.2412071228027344,4.992485046386719,3.591299057006836
mps-uncap,0.5,1.1267662048339844,4.384040832519531,3.4492015838623047
mps-uncap,0.6,1.1093616485595703,4.4116973876953125,3.450155258178711
mps-uncap,0.7,1.070261001586914,4.581451416015625,3.467082977294922
mps-uncap,0.1,1.172780990600586,4.760503768920898,3.53240966796875
mps-uncap,0.2,1.1222362518310547,4.494667053222656,3.4956932067871094
mps-uncap,0.3,1.1293888092041016,4.508256912231445,3.4551620483398438
mps-uncap,0.4,1.1179447174072266,4.653215408325195,3.4334659576416016
