mode,load,0_alexnet-16,1_densenet121-8,2_mobilenet_v3_small-4
mps-uncap,0.8,6732.609066484372,504.0833553014799,1004.2584133452985
mps-uncap,0.9,7678.926365388773,579.3021892866684,1091.831447237015
mps-uncap,1.0,8347.066520943592,640.2493659935922,1223.6053102336198
mps-uncap,0.5,4217.2420520939395,314.2470553573106,607.305917974331
mps-uncap,0.6,5042.8912496794965,377.2609091066058,733.017902157725
mps-uncap,0.7,5872.674902229836,437.3605255813054,859.4716534161149
mps-uncap,0.1,862.1204705064637,63.58980700117255,126.20320274703238
mps-uncap,0.2,1689.4211752838216,126.090872428736,246.96043383923993
mps-uncap,0.3,2571.7093991285915,179.6860984143643,370.5546291778668
mps-uncap,0.4,3422.301600851871,247.4497870268384,477.1173193213548
