mode,load,0_alexnet-16,1_densenet121-8,2_mobilenet_v3_small-4
mps-uncap,0.8,1.4033317565917969,7.024049758911133,2.308368682861328
mps-uncap,0.9,1.3811588287353516,6.907224655151367,2.266407012939453
mps-uncap,1.0,1.3718605041503906,6.831645965576172,2.2890567779541016
mps-uncap,0.5,1.4162063598632812,6.804704666137695,2.26593017578125
mps-uncap,0.6,1.4061927795410156,6.789445877075195,2.266407012939453
mps-uncap,0.7,1.3766288757324219,6.892919540405273,2.316713333129883
mps-uncap,0.1,1.417398452758789,6.916046142578125,2.312183380126953
mps-uncap,0.2,1.4121532440185547,6.989717483520508,2.3598670959472656
mps-uncap,0.3,1.3909339904785156,6.834745407104492,2.301931381225586
mps-uncap,0.4,1.4209747314453125,6.819725036621094,2.267599105834961
