mode,load,0_alexnet-16,1_densenet121-8,2_mobilenet_v3_small-4
mps-uncap,0.8,1.9729137420654297,12.376785278320312,3.5877227783203125
mps-uncap,0.9,2.0160675048828125,12.108397483825684,3.328680992126465
mps-uncap,1.0,2.064990997314453,12.19015121459961,3.5502433776855473
mps-uncap,0.5,1.8450021743774414,12.739896774291992,4.38375473022461
mps-uncap,0.6,1.9024372100830083,11.809587478637695,3.9433717727661133
mps-uncap,0.7,1.9052505493164065,10.931253433227539,3.5142183303833003
mps-uncap,0.1,1.596784591674805,17.659854888916016,6.069421768188477
mps-uncap,0.2,1.6576051712036133,17.349910736083984,6.204366683959961
mps-uncap,0.3,1.657724380493164,16.71442985534668,6.037473678588867
mps-uncap,0.4,1.779317855834961,13.558673858642578,5.505752563476563
