mode,load,0_alexnet-16,1_densenet121-8,2_mobilenet_v3_small-4
mps-uncap,0.8,1.4204978942871094,7.1125030517578125,2.3589134216308594
mps-uncap,0.9,1.3968944549560547,6.980180740356445,2.3097991943359375
mps-uncap,1.0,1.3935565948486328,6.891727447509766,2.3162364959716797
mps-uncap,0.5,1.4278888702392578,6.880521774291992,2.310037612915039
mps-uncap,0.6,1.4264583587646484,6.880521774291992,2.300739288330078
mps-uncap,0.7,1.3916492462158203,6.982088088989258,2.343893051147461
mps-uncap,0.1,1.4286041259765625,6.983280181884766,2.323627471923828
mps-uncap,0.2,1.422882080078125,7.001399993896484,2.397775650024414
mps-uncap,0.3,1.4073848724365234,6.920576095581055,2.3610591888427734
mps-uncap,0.4,1.430511474609375,6.937503814697266,2.3322105407714844
