mode,load,0_alexnet-16,1_densenet121-8,2_mobilenet_v3_small-4
mps-uncap,0.8,2.2474050521850604,12.894730567932129,4.248046874999999
mps-uncap,0.9,2.2655749320983882,12.519669532775877,3.903412818908691
mps-uncap,1.0,2.2742748260498047,12.556161880493164,4.051537513732909
mps-uncap,0.5,2.2637367248535165,16.27545833587647,5.594158172607422
mps-uncap,0.6,2.276008129119873,13.221004009246826,4.930317401885989
mps-uncap,0.7,2.249441146850585,12.849371433258055,4.185435771942138
mps-uncap,0.1,2.0475101470947266,18.512773513793945,6.436276435852051
mps-uncap,0.2,2.104020118713379,18.91632080078125,6.836652755737305
mps-uncap,0.3,2.107858657836914,18.734817504882805,6.729743480682374
mps-uncap,0.4,2.2414875030517565,18.30007553100586,6.238150596618652
