mode,load,0_alexnet-16,1_densenet121-8,2_mobilenet_v3_small-4
mps-uncap,0.8,5.920124053955083,25.830101966857907,9.862661361694336
mps-uncap,0.9,8.257222175598145,51.25575065612794,9.827733039855957
mps-uncap,1.0,22.875881195068363,154.04043197631836,22.815370559692383
mps-uncap,0.5,1.8666982650756836,11.62300109863281,5.8167934417724645
mps-uncap,0.6,2.6824474334716797,11.70225143432618,5.490398406982422
mps-uncap,0.7,3.429412841796875,13.929796218872076,5.854439735412597
mps-uncap,0.1,0.057697296142578125,4.312705993652342,2.9860734939575195
mps-uncap,0.2,0.6544589996337891,9.906744956970211,5.138397216796875
mps-uncap,0.3,1.111888885498046,10.51812171936035,6.413578987121582
mps-uncap,0.4,1.4319419860839844,11.596345901489256,6.335639953613282
