mode,load,0_alexnet-16,1_densenet121-8,2_mobilenet_v3_small-4
mps-uncap,0.8,21.84271812438965,94.7713851928711,31.62074089050293
mps-uncap,0.9,32.521724700927734,176.76639556884766,37.848711013793945
mps-uncap,1.0,66.38932228088379,315.1893615722656,78.85599136352539
mps-uncap,0.5,10.935068130493164,51.62978172302246,27.987957000732422
mps-uncap,0.6,15.70582389831543,49.40342903137207,27.83679962158203
mps-uncap,0.7,18.288373947143555,50.46534538269043,29.474496841430664
mps-uncap,0.1,4.857063293457031,38.321733474731445,19.67334747314453
mps-uncap,0.2,4.952907562255859,50.115346908569336,25.585174560546875
mps-uncap,0.3,7.810115814208984,42.66786575317383,31.519174575805664
mps-uncap,0.4,9.08660888671875,47.1034049987793,29.801130294799805
