mode,load,0_alexnet-16,1_densenet121-8,2_mobilenet_v3_small-4
mps-uncap,0.8,2.9671192169189453,15.35344123840332,5.014657974243164
mps-uncap,0.9,3.9528608322143555,20.978808403015137,5.058526992797852
mps-uncap,1.0,9.083032608032227,48.394203186035156,8.20779800415039
mps-uncap,0.5,1.7673969268798828,12.194395065307617,4.3582916259765625
mps-uncap,0.6,1.9761323928833008,11.509537696838379,3.932952880859375
mps-uncap,0.7,2.1758079528808594,10.932326316833496,3.947734832763672
mps-uncap,0.1,1.5665292739868164,16.7691707611084,5.807042121887207
mps-uncap,0.2,1.5788078308105469,16.520977020263672,5.945920944213867
mps-uncap,0.3,1.5583038330078125,14.197587966918945,5.869388580322266
mps-uncap,0.4,1.6703605651855469,12.814521789550781,5.339860916137695
