mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,1.0,29.084205627441406,42.01626777648926,29.4039249420166
mig,1.0,25.769948959350586,55.97090721130371,32.16266632080078
