mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,1.0,0.012874603271484375,0.007867813110351562,0.002384185791015625
mig,1.0,0.000476837158203125,0.007867813110351562,0.000476837158203125
