mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,1.0,910.2736344508884,260.9229995069234,456.19258338526606
mig,1.0,1343.5876596733872,164.24722750651853,415.65910280765866
