mode,load,0_alexnet-32,1_vgg13-4,2_vgg19-4
mps-uncap,0.8,95.85003852844207,44.78447437286378,98.05464029312122
mps-uncap,0.9,2746.298923492431,248.0612182617188,206.67973518371568
mps-uncap,1.0,11058.68079662323,4483.796954154968,3030.7435035705566
mps-uncap,0.5,10.919833183288592,9.028556346893309,11.019229888916042
mps-uncap,0.6,17.957987785339352,14.220454692840576,18.9525651931763
mps-uncap,0.7,35.24373054504395,29.23937320709228,27.973530292511185
mps-uncap,0.1,5.307435989379883,2.7831530570983922,3.3227062225341895
mps-uncap,0.2,6.446018218994121,4.028081893920902,3.982424736022949
mps-uncap,0.3,8.72626781463623,5.523219108581527,6.3655948638916025
mps-uncap,0.4,9.87386703491211,7.755246162414549,9.662034511566148
