mode,load,0_alexnet-32,1_vgg13-4,2_vgg19-4
mps-uncap,0.8,6.238436698913574,6.915044784545898,10.46297550201416
mps-uncap,0.9,6.35218620300293,7.185506820678711,11.113572120666504
mps-uncap,1.0,6.395959854125977,7.23576545715332,11.14950180053711
mps-uncap,0.5,5.757808685302734,5.511879920959473,7.823467254638672
mps-uncap,0.6,5.889582633972168,6.013464927673341,8.605194091796873
mps-uncap,0.7,5.973958969116213,6.505918502807618,9.229302406311035
mps-uncap,0.1,6.089687347412109,4.475378990173341,6.020307540893556
mps-uncap,0.2,6.240272521972656,4.818367958068848,6.263494491577148
mps-uncap,0.3,6.091451644897461,4.949426651000976,6.731033325195313
mps-uncap,0.4,5.991578102111816,5.140304565429688,7.256722450256348
