mode,load,0_alexnet-32,1_vgg13-4,2_vgg19-4
mps-uncap,0.8,37.84456253051757,27.934169769287113,48.21665287017823
mps-uncap,0.9,2261.1611366271977,117.10357666015626,144.38610076904297
mps-uncap,1.0,10084.756517410278,3915.7495498657227,2339.5839691162105
mps-uncap,0.5,9.191036224365234,8.056902885437015,10.236263275146484
mps-uncap,0.6,11.836862564086914,10.246419906616213,14.470863342285156
mps-uncap,0.7,17.59610176086426,15.201759338378912,18.973088264465336
mps-uncap,0.1,6.997346878051758,4.955029487609863,6.305646896362305
mps-uncap,0.2,7.2254180908203125,5.326318740844727,6.736874580383301
mps-uncap,0.3,7.9015731811523455,5.947685241699219,7.554793357849122
mps-uncap,0.4,8.47017765045166,6.706523895263673,9.124660491943361
