mode,load,0_alexnet-32,1_vgg13-4,2_vgg19-4
mps-uncap,0.8,4.8149824142456055,5.3882598876953125,8.502960205078125
mps-uncap,0.9,5.464076995849609,6.293773651123047,9.711623191833496
mps-uncap,1.0,5.591630935668945,6.445050239562988,9.898662567138672
mps-uncap,0.5,3.477811813354492,3.7358999252319336,5.231142044067383
mps-uncap,0.6,3.7751197814941406,4.108428955078125,5.895853042602539
mps-uncap,0.7,4.235744476318359,4.570960998535156,6.625533103942871
mps-uncap,0.1,4.827022552490234,2.9754638671875,3.8390159606933594
mps-uncap,0.2,4.751682281494141,2.9571056365966797,3.823995590209961
mps-uncap,0.3,3.5452842712402344,2.990245819091797,4.005074501037598
mps-uncap,0.4,3.356456756591797,3.0438899993896484,4.8046112060546875
