mode,load,0_alexnet-32,1_vgg13-4,2_vgg19-4
mps-uncap,0.8,100.81236124038625,50.336351394653434,107.15300321578964
mps-uncap,0.9,2751.5899276733394,254.2236137390137,216.74552679061878
mps-uncap,1.0,11064.154982566833,4489.355742931366,3040.349054336548
mps-uncap,0.5,15.144991874694828,13.5284686088562,17.505645751953143
mps-uncap,0.6,22.335433959960934,19.231226444244385,25.988683700561552
mps-uncap,0.7,39.84588623046877,34.94194030761719,36.582474708557285
mps-uncap,0.1,10.622501373291016,6.706600189208988,8.808007240295415
mps-uncap,0.2,10.994911193847646,7.788157463073741,9.344339370727539
mps-uncap,0.3,12.841601371765137,9.662001132965086,11.682136058807373
mps-uncap,0.4,13.831496238708496,11.78612232208251,15.436358451843258
