mode,load,0_alexnet-32,1_vgg13-4,2_vgg19-4
mps-uncap,0.8,5294.225228432974,540.1903649255477,335.1560672110776
mps-uncap,0.9,5897.3225122414615,604.359695962316,389.3891423124203
mps-uncap,1.0,5625.891814456404,630.6143759578655,400.2173421534885
mps-uncap,0.5,3326.493355090984,333.71629897783833,208.86280868488265
mps-uncap,0.6,4035.535856953753,392.51238030173954,252.79067150443558
mps-uncap,0.7,4672.7530800746235,464.26746794998223,297.5100343735384
mps-uncap,0.1,680.7111009651264,66.53919981777696,44.375214461596094
mps-uncap,0.2,1328.7495766423265,135.06836041075078,82.33722769888504
mps-uncap,0.3,2001.7068046715979,197.66324177901197,119.63514858293179
mps-uncap,0.4,2652.060750312916,265.31299295726666,160.86024747086446
