mode,load,0_densenet169-32,1_mobilenet_v3_small-4,2_vgg13-8
mps-uncap,0.8,449.4008357051354,349.52631238709506,992.2145151705008
mps-uncap,0.9,486.8448058475638,384.28396240681013,1110.5947236320906
mps-uncap,1.0,555.076425572111,439.26823434689,1212.476024292454
mps-uncap,0.5,257.7178537648305,222.84714307517092,597.4384853012401
mps-uncap,0.6,356.87200160162615,261.0247697856525,741.9623286575953
mps-uncap,0.7,380.8370539621771,310.91759810106237,868.212191766112
mps-uncap,0.1,47.644749275091456,40.49432493230674,128.98150345578256
mps-uncap,0.2,113.12397606522782,89.74930223083955,249.29601407866573
mps-uncap,0.3,165.0358449276611,132.79819455078754,369.96409869659084
mps-uncap,0.4,227.79170249897797,172.6649319060458,493.32165674168107
