mode,load,0_resnet34-16,1_vgg11-4,2_vgg13-16
mps-uncap,0.8,547.6578478934013,375.6858696042974,1140.6760258935306
mps-uncap,0.9,595.1325635380745,428.5263869114248,1250.2349042117694
mps-uncap,1.0,653.6085654581235,456.981756822791,1288.1328111880418
mps-uncap,0.5,326.49307596477945,234.7779387657921,700.9943053031632
mps-uncap,0.6,393.17415529700855,278.30737467821297,848.3933420110079
mps-uncap,0.7,467.09180465935816,317.7525370830184,979.7960701122164
mps-uncap,0.1,65.28237928739348,48.698170525466686,139.9793780716206
mps-uncap,0.2,129.23604782551163,93.07523252097528,288.82409313677226
mps-uncap,0.3,192.94539853233408,145.0687523360011,428.8488700003529
mps-uncap,0.4,268.3772711894627,194.00215765999135,557.9676460489786
