mode,load,0_resnet34-16,1_vgg11-4,2_vgg13-16
mps-uncap,0.8,33.4782600402832,13.092041015625,23.248672485351562
mps-uncap,0.9,32.451629638671875,17.744779586791992,20.993947982788086
mps-uncap,1.0,37.229299545288086,22.490978240966797,23.95462989807129
mps-uncap,0.5,29.290437698364258,12.61448860168457,24.785757064819336
mps-uncap,0.6,33.01596641540527,12.719392776489258,29.378890991210938
mps-uncap,0.7,33.486366271972656,13.574361801147461,16.475915908813477
mps-uncap,0.1,18.78190040588379,14.205694198608398,22.13430404663086
mps-uncap,0.2,26.677846908569336,12.239456176757812,16.234874725341797
mps-uncap,0.3,24.60193634033203,23.676633834838867,27.568817138671875
mps-uncap,0.4,27.477502822875977,15.50149917602539,21.745920181274414
