mode,load,0_inception_v3-32,1_inception_v3-16,2_resnet34-2
mps-uncap,1.0,1788.188924062851,1058.0120357320768,428.7073367234279
mig,1.0,1575.0133574303431,934.0200444758243,540.2232178048015
