mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-16
mig,0.1,13.000106811523429,14.697742462158221
mig,0.2,17.85483360290527,17.961931228637706
mig,0.3,19.639539718627923,18.198409080505364
mig,0.4,16.375195980072025,14.86213684082031
mig,0.5,14.827678203582762,12.582736015319817
mig,0.6,13.367443084716797,12.574129104614258
mig,0.7,16.307079792022687,16.740231513977044
mig,0.8,27.722196578979492,27.49009370803836
mig,0.9,33.290700912475586,37.306275367736816
mig,1.0,107.62983322143552,1443.209888935089
