mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-16
mig,0.1,642.7293884976709,694.4350029507667
mig,0.2,1271.3792514313527,1406.8258470230246
mig,0.3,1898.0743574728665,1999.905767600492
mig,0.4,2493.4766733587385,2686.3571142909127
mig,0.5,3118.8866532367706,3302.746247176376
mig,0.6,3838.58407407129,3973.5652080834097
mig,0.7,4379.234360913873,4616.934680754192
mig,0.8,5104.298788993307,5248.176786015913
mig,0.9,5654.30948433634,6002.780432488238
mig,1.0,6320.378293183474,6507.888160487015
